dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay
20200114,Date,1/14/2020,14,Tuesday,3,7,14,14,14-Jan
20200115,Date,1/15/2020,15,Wednesday,4,1,15,15,15-Jan
20200116,Date,1/16/2020,16,Thursday,5,2,16,16,16-Jan
20200117,Date,1/17/2020,17,Friday,6,3,17,17,17-Jan
20200118,Date,1/18/2020,18,Saturday,7,4,18,18,18-Jan
20200119,Date,1/19/2020,19,Sunday,1,5,19,19,19-Jan
20200120,Date,1/20/2020,20,Monday,2,6,20,20,20-Jan
20200121,Date,1/21/2020,21,Tuesday,3,7,21,21,21-Jan
20200122,Date,1/22/2020,22,Wednesday,4,1,22,22,22-Jan
20200123,Date,1/23/2020,23,Thursday,5,2,23,23,23-Jan
20200124,Date,1/24/2020,24,Friday,6,3,24,24,24-Jan
20200125,Date,1/25/2020,25,Saturday,7,4,25,25,25-Jan
