calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
25,25,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206319,2063
25,25,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206320,2063
25,25,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206321,2063
25,25,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206422,2064
25,25,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206423,2064
25,26,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206424,2064
26,26,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206425,2064
26,26,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206426,2064
26,26,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206427,2064
26,26,20002064,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206428,2064
26,26,20002065,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206529,2065
26,26,20002065,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206530,2065
26,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307101,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307102,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307103,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307104,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307105,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307106,3071
27,27,20003071,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307107,3071
27,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307208,3072
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307209,3072
28,28,20003072,7,July,1,7/2000,"July, 2000",2000307,403,20004,200097,3,Q3,3/2000,Q3 2000,20003,2000,307210,3072
